,FIPS,Areaname,IPE010200D,IPE120200D,HEA010200D,CRM110200D,PIN020200D,EDU635200D,POP060200D,POP110200D,POP150200D,POP160200D,POP220200D,POP250200D,HSG680200D,HSG695200D,HSG700200D,HSD150200D,HSD170200D,SPR010200D,SPR410200D,LND110200D,CLF040200D,BNK010200D,AvgFineParticulateMatterµgm,AvgDailyPrecipitationmm,AvgDayLandSurfaceTemperatureF,AvgDailyMaxAirTemperatureF,AvgDailyMinAirTemperatureF,AvgDailyMaxHeatIndexF,AGE030200D,AGE040200D,b_1996,b_1997,b_1998,b_1999,b_2000,averagesmoke1996to2000,AGE050200D,number2004diabetes,percent2004diabetes,ageadjustedpercent2004diabetes,HSG455200D,HSG460200D,HSG495200D,INC910199D,numberobesityprevalence2004,percentobesity2004,ageadjustedpercentobesity2004,numberleisuretimephysicalinactivityprevalence2004,percentleisuretimephysicalinactivityprevalence2004,ageadjustedpercentleisuretimephysicalinactivityprevalence2004,HHNV1MI,FFRPTH07,FSRPTH07,PH_FRUVEG,PH_SNACKS,PH_SODA,PH_MEAT,PH_FATS,PH_PREPFOOD,HEA070200D,PCT_CVD_Death,Deaths by CVD,Population,Crude,ageadjustedrate
763,48389,"Reeves, TX",24194,28.3,1846,18,15849,46.6,5,10833,6940,6197,10421,276,913,30,635,185,507,2145,541,2635.88,8.9,2,10.77,0.81,102.94,81.07,58.59,90.22,13137,13050,25.8,25.7,25.8,25.8,26.4,25.9,32.1,676,8.4,7.5,70,2282,24900,10811,1995,24.9,24.8,1995,24.9,24.1,256,0.450288184,0.810518732,144,100,69,69,16,257,1787,2.3828,204,29260,697.2,730.5
806,48475,"Ward, TX",30714,18.6,1744,20,18779,70.1,13.1,7351,5449,5460,8704,503,870,74,336,143,459,2095,277,835.49,6.3,3,10.42,1.01,100.49,81.84,58.2,91.33,10909,10819,25.4,25.2,25.2,25.4,25.8,25.4,36,621,8.8,7.6,80,1060,34400,14393,1730,24.7,24.5,1795,25.6,24.6,114,0.88713652,0.689995071,144,100,69,69,16,257,1692,3.1363,209,25814,809.6,780.6
620,48103,"Crane, TX",34831,13.9,478,7,19214,68.7,5.1,3581,1945,2051,2945,116,203,7,75,53,108,583,63,785.56,5.4,2,10.53,1.15,100.78,80.71,56.98,90.92,3996,3949,26,25.8,25.9,25.7,25.8,25.84,34.2,208,8.1,7.2,32,398,39100,15374,635.299,24.8,24.3,617.299,23.7,23,12,0.51786639,0.776799586,144,100,69,69,16,257,463,6.9581,70,10030,697.9,779.8
636,48135,"Ector, TX",32259,18.4,15296,620,21104,68,134.4,109969,58914,62209,89257,5583,13759,1035,4851,1974,6004,18109,2845,901.06,5.4,25,9.77,1.29,99.2,78.4,55.71,89.71,121123,120685,27.5,27.3,27.3,27.5,27.7,27.46,32,6607,8,7.8,987,9740,47700,15031,20370,24.5,24.3,20320,24.4,24.3,919,0.853546875,0.496609091,144,100,69,69,16,257,14746,0.284,2209,278891,792.1,929.2
733,48329,"Midland, TX",39205,14.3,13924,449,35439,79.2,128.9,101021,56032,59977,89702,8101,13006,1465,3403,1507,4887,16766,1840,900.25,4.2,28,9.86,1.35,97.56,78.79,54.88,90.25,116009,115487,23.3,23.2,23.3,23.9,23.9,23.52,34.1,6268,7.7,7.2,1495,6140,73400,20369,20330,24.9,24.6,17530,21.4,21.1,693,0.761409242,0.634507701,144,100,69,69,16,257,13473,0.1943,1787,303306,589.2,641.1
727,48317,"Martin, TX",31990,18.6,650,2,17717,65.8,5.2,2492,2319,2427,3750,75,420,16,158,59,154,784,111,914.78,4,2,9.26,1.38,95.95,77.94,54.69,90.04,4746,4720,25.1,25.1,25.2,25.3,25.8,25.3,32.5,230,8,7.3,16,368,53800,15647,704.8,24.6,24.5,691.8,24.2,23.5,125,0.452898551,0.226449275,144,100,69,69,16,257,639,5.9951,72,10959,657,723.3
682,48227,"Howard, TX",30765,21.2,5315,111,20020,70.6,37.2,26347,18205,15422,26950,1390,3480,220,1102,483,1393,5968,892,902.84,5.1,6,9.42,1.46,93.36,78.31,55.1,90.63,33627,33453,26.2,26.1,26.1,26.1,26.7,26.24,36.4,1834,7.6,7.2,201,1675,39000,15027,5791,24,24.1,5783,23.9,23.5,484,0.808281779,0.652842976,144,100,69,69,16,257,5076,0.8692,667,87599,761.4,853.2
736,48335,"Mitchell, TX",26078,26,1595,12,14574,71.7,10.7,6644,5958,3740,7227,1242,684,60,186,96,324,1753,228,910.04,5.6,3,9.6,1.66,92.84,78.67,55.62,91.35,9698,9638,26.5,26.4,26.5,26.7,27.3,26.68,38.6,581,8.1,7.8,61,501,31000,14043,1836,25.6,25.6,1859,25.8,25.7,99,0.538386993,0.646064391,144,100,69,69,16,257,1563,4.1772,173,20351,850.1,827.3
745,48353,"Nolan, TX",27476,21.3,3055,6,20050,69.9,17.3,11225,7687,8115,12397,739,2009,144,581,244,776,3345,407,911.98,4.9,4,9.76,1.94,88.51,77.22,54.87,90.53,15802,15749,26.1,26,26,25.9,26.2,26.04,37.4,931,8.8,7.6,100,799,35300,14077,2635,25,24.9,2905,27.5,26.3,236,0.754458162,0.823045267,144,100,69,69,16,257,2983,2.5162,371,38399,966.2,893.6
789,48441,"Taylor, TX",34603,15.3,18393,420,25923,81.2,138.2,109376,61342,65213,102016,8517,18175,1830,2851,1698,5420,20777,2561,915.63,4.1,37,9.92,2,87.4,77.73,55.33,91.49,126551,126468,24.2,24,23.9,23.4,23.3,23.76,32.2,7004,8.1,7.9,1137,3468,61700,17176,21650,24.9,25,20580,23.6,23.5,883,0.861374089,0.632201166,144,100,69,69,16,257,17729,0.2783,2316,288500,802.8,758.3
